Days,Survival,Mutant,Virus,TechRep,BiolRep
8,0,0,0,A,1
8,0,0,0,A,1
8,0,0,0,A,1
8,0,0,0,A,1
8,0,0,0,A,1
8,0,0,0,A,1
8,0,0,0,A,1
8,0,0,0,A,1
8,0,0,0,A,1
8,0,0,0,A,1
8,0,0,0,A,1
8,0,0,0,A,1
8,0,0,0,A,1
8,0,0,0,A,1
2,1,0,1,B,1
2,1,0,1,B,1
5,1,0,1,B,1
7,1,0,1,B,1
7,1,0,1,B,1
7,1,0,1,B,1
7,1,0,1,B,1
7,1,0,1,B,1
8,1,0,1,B,1
8,1,0,1,B,1
8,1,0,1,B,1
8,1,0,1,B,1
8,1,0,1,B,1
2,1,0,1,C,1
6,1,0,1,C,1
7,1,0,1,C,1
7,1,0,1,C,1
7,1,0,1,C,1
7,1,0,1,C,1
7,1,0,1,C,1
7,1,0,1,C,1
7,1,0,1,C,1
7,1,0,1,C,1
7,1,0,1,C,1
7,1,0,1,C,1
8,1,0,1,C,1
8,1,0,1,C,1
8,0,1,0,D,1
8,0,1,0,D,1
8,0,1,0,D,1
8,0,1,0,D,1
8,0,1,0,D,1
8,0,1,0,D,1
8,0,1,0,D,1
8,0,1,0,D,1
8,0,1,0,D,1
8,0,1,0,D,1
8,0,1,0,D,1
8,0,1,0,D,1
8,0,1,0,D,1
5,1,1,1,E,1
5,1,1,1,E,1
6,1,1,1,E,1
6,1,1,1,E,1
6,1,1,1,E,1
6,1,1,1,E,1
7,1,1,1,E,1
7,1,1,1,E,1
7,1,1,1,E,1
7,1,1,1,E,1
7,1,1,1,E,1
7,1,1,1,E,1
8,1,1,1,E,1
8,1,1,1,E,1
3,1,1,1,F,1
6,1,1,1,F,1
6,1,1,1,F,1
6,1,1,1,F,1
6,1,1,1,F,1
7,1,1,1,F,1
7,1,1,1,F,1
7,1,1,1,F,1
7,1,1,1,F,1
7,1,1,1,F,1
7,1,1,1,F,1
7,1,1,1,F,1
7,1,1,1,F,1
7,1,1,1,F,1
8,1,1,1,F,1
8,0,0,0,G,2
8,0,0,0,G,2
8,0,0,0,G,2
8,0,0,0,G,2
8,0,0,0,G,2
8,0,0,0,G,2
8,0,0,0,G,2
8,0,0,0,G,2
8,0,0,0,G,2
8,0,0,0,G,2
8,0,0,0,G,2
8,0,0,0,G,2
8,0,0,0,G,2
3,1,0,1,H,2
3,1,0,1,H,2
3,1,0,1,H,2
6,1,0,1,H,2
6,1,0,1,H,2
6,1,0,1,H,2
6,1,0,1,H,2
6,1,0,1,H,2
6,1,0,1,H,2
7,1,0,1,H,2
7,1,0,1,H,2
7,1,0,1,H,2
7,1,0,1,H,2
7,1,0,1,H,2
3,1,0,1,I,2
3,1,0,1,I,2
5,1,0,1,I,2
6,1,0,1,I,2
6,1,0,1,I,2
7,1,0,1,I,2
7,1,0,1,I,2
7,1,0,1,I,2
7,1,0,1,I,2
7,1,0,1,I,2
7,1,0,1,I,2
7,1,0,1,I,2
8,1,0,1,I,2
8,1,0,1,I,2
8,0,1,0,J,2
8,0,1,0,J,2
8,0,1,0,J,2
8,0,1,0,J,2
8,0,1,0,J,2
8,0,1,0,J,2
8,0,1,0,J,2
8,0,1,0,J,2
8,0,1,0,J,2
8,0,1,0,J,2
8,0,1,0,J,2
8,0,1,0,J,2
8,0,1,0,J,2
8,0,1,0,J,2
5,1,1,1,K,2
6,1,1,1,K,2
7,1,1,1,K,2
7,1,1,1,K,2
7,1,1,1,K,2
7,1,1,1,K,2
7,1,1,1,K,2
7,1,1,1,K,2
7,1,1,1,K,2
7,1,1,1,K,2
7,1,1,1,K,2
7,1,1,1,K,2
7,1,1,1,K,2
7,1,1,1,K,2
3,1,1,1,L,2
6,1,1,1,L,2
6,1,1,1,L,2
6,1,1,1,L,2
7,1,1,1,L,2
7,1,1,1,L,2
7,1,1,1,L,2
7,1,1,1,L,2
